全局序号,唯一充电站ID,充电站名称,行政区,具体地址,经度,纬度,充电桩类型,联系电话,爬取关键词,爬取时间,站平均评分,站有效评论数,充电速度（0-5分）,价格性价比（0-5分）,设施完整性（0-5分）,环境卫生（0-5分）,位置便利性（0-5分）,服务态度（0-5分）,支付便捷性（0-5分）,安全保障（0-5分）
313,站_288,小朗充电汽车充电站(庐阳区金龙国际共享充电站),庐阳区,四里河街道肥西北路金龙国际地下车库负二层,117.25443,31.881529,汽车服务;充电站;充电站,4008806700,新能源汽车充电桩,2026/1/27 20:38,3.8,10,2.216,2.5,2.5,3.085,3.308,2.5,2.5,2.5
314,站_289,保时捷汽车充电站(合肥银泰中心保时捷快充站),庐阳区,"长江中路98号B2层,C297、C299车位",117.29198,31.863176,汽车服务;充电站;充电站,4006910911,新能源汽车充电桩,2026/1/27 20:38,4,9,7.589,2.5,2.5,4.458,2.5,2.5,2.5,2.5
315,站_290,小朗充电汽车充电站(思和苑充电站),庐阳区,四里河街道思和苑小区地面停车位,117.24862,31.876127,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.7222222222222223,9,2.5,3.655,2.5,2.5,4.441,2.5,2.5,2.5
316,站_224,电动汽车充电站,庐阳区,荣城花园南苑对面,117.272363,31.914,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,4,4,4.81,2.301,2.5,2.5,2.5,2.5,2.5,2.5
317,站_291,电动汽车充电站,庐阳区,荣城花园南苑对面,117.272363,31.914,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.5625,8,1.792,2.5,2.5,2.5,1.294,2.5,2.5,2.5
318,站_292,蔚景云汽车充电站(崔岗村生态旅游区充电站),庐阳区,三十岗乡崔潭路庐阳区三十岗生态农业旅游区内(西侧),117.08285,31.946854,汽车服务;充电站;充电站,4006803880,新能源汽车充电桩,2026/1/27 20:38,3.5,7,3.364,2.5,2.5,3.214,3.364,2.5,2.5,2.5
319,站_293,蔚来目的地充电站(合肥万科中心),庐阳区,四里河街道万科中心地下停车场2488,117.24568,31.879336,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.8125,8,2.5,2.5,2.5,2.5,2.714,2.5,2.5,2.5
320,站_294,汽车充电站(三只兔新能源合肥庐阳卫生厅机关宿舍站),庐阳区,丁家巷2号,117.28219,31.85996,汽车服务;充电站;充电站,19266461951,新能源汽车充电桩,2026/1/27 20:38,3.6,10,2.049,2.63,2.5,2.5,2.5,2.5,2.5,2.5
321,站_295,绿地派克公馆充电站,庐阳区,八公山路与瓦埠湖路交叉口南120米,117.220193,31.895213,购物服务;购物相关场所;购物相关场所|生活服务;生活服务场所;生活服务场所,,新能源汽车充电桩,2026/1/27 20:38,3.227272727272727,11,2.065,2.738,2.5,2.794,2.5,2.5,2.5,2.5
322,站_296,京联充电桩(清雅苑充电站),庐阳区,古城路24号,117.129744,31.925332,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.5,6,2.5,3.043,2.5,2.5,2.776,2.5,2.5,2.5
323,站_297,小桔充电汽车充电站(合肥市罗兰苑小桔充电站),庐阳区,祥源·上城国际罗兰苑,117.27875,31.89619,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,3.6818181818181817,11,2.148,3.772,2.5,3.085,2.5,2.5,2.5,2.5
324,站_298,京联充电桩(源祥广场充电站),庐阳区,阜阳北路432号,117.286083,31.896744,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,1.9090909090909087,11,2.287,2.5,2.5,2.5,2.5,2.5,2.5,2.5
325,站_299,小朗充电汽车充电站(庐阳区四里河美凯龙共享充电站),庐阳区,红星美凯龙(安徽全球家居1号店)地下车库1层,117.242805,31.879412,汽车服务;充电站;充电站,4008806700,新能源汽车充电桩,2026/1/27 20:38,3.4166666666666665,12,2.625,2.584,2.5,2.5,2.625,2.5,2.5,2.5
326,站_300,友电目的地充电站(合肥罗兰德小区),庐阳区,罗兰德小区(杏花公园地铁站D口步行320米),117.27688,31.871714,汽车服务;充电站;充电站,17718180179,新能源汽车充电桩,2026/1/27 20:38,3.25,6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
327,站_301,Zeekrpower北城旭辉中心汽车充电站,庐阳区,北辰旭辉中心B1层,117.219875,31.889276,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.9,10,2.649,2.5,2.5,3.238,2.074,2.5,2.5,2.5
328,站_302,小桔充电汽车充电站(合肥市祥源翡丽城小桔充电站),庐阳区,亳州路街道祥源翡丽城(东2门),117.26603,31.880907,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,2.5,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
329,站_303,依威能源汽车充电站(警泰苑),庐阳区,亳州路街道长丰路80号警泰苑,117.260635,31.872648,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,1,3,2.5,2.5,2.5,2.5,1.827,2.5,2.5,2.5
330,站_304,小桔充电汽车充电站(合肥市上城国际百合苑小桔充电站),庐阳区,杏林街道上城国际百合苑,117.28301,31.896185,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:38,3.409090909090909,11,2.634,2.786,2.5,2.5,2.661,2.5,2.5,2.5
331,站_305,嘉顿新能源汽车充电站,庐阳区,金池路985号,117.284181,31.924038,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.2777777777777777,9,2.086,2.783,2.5,2.891,2.712,2.5,2.5,2.5
332,站_306,保时捷汽车充电站(合肥庐阳保时捷中心充电站),庐阳区,蒙城北路780号(蒙城北路与涡阳路交叉口),117.273396,31.905187,汽车服务;充电站;充电站,4008205911,新能源汽车充电桩,2026/1/27 20:38,3.6666666666666665,9,2.746,2.796,2.5,2.746,2.741,2.729,2.5,2.5
333,站_307,汽车充电站(三十岗东瞿村谢家),庐阳区,东瞿路37号,117.139524,31.928968,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.1666666666666665,9,2.141,2.334,2.5,2.5,2.5,2.5,2.5,2.5
334,站_308,小朗充电汽车充电站(庐阳区正奇金融共享充电站),庐阳区,亳州路街道禹王亭路正奇金融广场,117.26156,31.88592,汽车服务;充电站;充电站,4008806700,新能源汽车充电桩,2026/1/27 20:38,3.3,10,2.5,2.797,2.5,2.5,2.643,2.5,2.5,2.5
335,站_309,小朗充电汽车充电站(畅园新村A区充电站),庐阳区,"亳州路街道,亳州路322号畅园新村63栋南侧地面停车位",117.25702,31.88447,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,1,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
336,站_310,小朗充电汽车充电站(庐阳区华星大厦共享充电站),庐阳区,华星大厦停车场,117.21268,31.913898,汽车服务;充电站;充电站,4008806700,新能源汽车充电桩,2026/1/27 20:38,3.2916666666666665,12,2.084,2.09,2.5,2.5,2.5,2.5,2.5,2.5
337,站_311,京联充电桩(清水苑充电站),庐阳区,古城路168号,117.125769,31.929129,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3,8,2.5,2.5,2.5,1.839,2.5,2.5,2.5,2.5
338,站_312,小朗充电汽车充电站(晨欣园B区充电站),庐阳区,亳州路街道合肥市大西门幼儿园馨和分园晨欣园17栋18栋北侧停车位,117.25547,31.884527,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,0.5,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
339,站_313,小朗充电汽车充电站(畅园新村B区充电站),庐阳区,亳州路322号畅园新村B区直行走到底靠左手侧36栋南侧地上停车位,117.25845,31.88446,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.5625,8,1.824,2.5,2.5,1.924,2.5,2.5,2.5,2.5
340,站_314,小朗充电汽车充电站(晨欣园A区充电站),庐阳区,亳州路街道晨欣园7号楼东南角地面停车位,117.2558,31.883224,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.357142857142857,14,2.5,2.5,2.5,2.067,2.5,2.5,2.5,2.5
341,站_315,万科学林雅苑闪开充电站,庐阳区,万科徽创学林雅苑2号楼,117.267183,31.90939,汽车服务;汽车服务相关;汽车服务相关,,新能源汽车充电桩,2026/1/27 20:38,3.15,10,3.244,3.516,2.5,3.132,2.5,2.5,2.5,2.5
342,站_316,汽车充电站(蓝鲤融侨悦里站),庐阳区,阜阳北路526号融侨悦里负一层,117.2826,31.918921,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.409090909090909,11,2.695,2.932,2.5,2.5,2.5,2.5,2.5,2.5
343,站_317,依威能源汽车充电站(龙源丽景藕塘路),庐阳区,固镇路与藕塘路交叉口东南150米龙源丽景地面停车场,117.273936,31.893326,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,1.9,10,2.188,2.883,2.5,2.5,2.5,2.5,2.232,2.5
344,站_318,依威能源汽车充电站(天赐园),庐阳区,蒙城北路与二环路交汇处向前300米天赐园地下停车场,117.27376,31.901855,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,3,1,2.5,11.15,2.5,2.5,2.5,2.5,2.5,2.5
345,站_319,闪开汽车充电站,庐阳区,万科森林公园朗庭附近,117.236483,31.88841,汽车服务;充电站;充电站,13966311589,新能源汽车充电桩,2026/1/27 20:38,2.9,10,1.849,1.297,2.5,2.5,2.674,2.5,2.5,2.5
346,站_320,依威能源汽车充电站(幸福人家),庐阳区,界首路4号幸福人家,117.265175,31.884172,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.0625,8,0.461,2.5,2.5,2.5,2.5,2.5,2.5,2.5
347,站_321,快电·能链充电站(财富广场店),庐阳区,北一环路辅路与界首路交叉口东南160米,117.267447,31.878321,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.272727272727273,11,2.778,3.256,2.5,2.857,3.025,2.5,2.5,2.5
348,站_322,普天充电站(合肥宝利丰汽车销售服务有限公司),庐阳区,蒙城北路2100号合肥宝利丰汽车销售服务有限公司停车场,117.259654,31.941808,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.5,5,2.777,2.5,2.5,4.822,2.953,2.5,2.5,2.5
349,站_323,汽车充电站(速停车大圣合肥万科广场站),庐阳区,四里河路599号合肥万科广场,117.234204,31.892245,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,3.1666666666666665,9,2.511,3.072,2.5,2.5,2.5,2.5,2.5,2.5
350,站_324,依威能源汽车充电站(森林明珠小区),庐阳区,森林明珠小区地下停车场B1层,117.21948,31.895039,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.0625,8,1.416,1.651,2.5,2.5,2.5,2.5,2.5,2.5
351,站_325,依威能源汽车充电站(北都花园),庐阳区,阜阳路631号北都花园(一里井地铁站E口步行420米),117.285355,31.8911,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.7,10,0.973,2.676,2.5,2.5,2.5,2.5,2.5,2.5
352,站_326,依威能源汽车充电站(滨水嘉苑),庐阳区,清源路与兰花路交叉口东北160米,117.248396,31.903368,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.1,10,0.812,2.354,2.5,2.5,2.5,2.5,2.5,2.5
353,站_327,依威能源汽车充电站(碧水家园),庐阳区,北一环与肥西路交口向西200米碧水家园地下停车场,117.252866,31.875656,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.4545454545454546,11,0.93,2.5,2.5,2.5,2.5,2.5,2.5,2.5
354,站_328,依威能源汽车充电站(华安家园),庐阳区,颍上路28号华安家园立体停车场,117.274813,31.882718,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.375,12,1.438,2.628,2.5,2.5,1.463,2.5,2.5,2.5
355,站_329,依威能源汽车充电站(上城国际·丁香苑),庐阳区,上城国际丁香苑停车场,117.281286,31.893029,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,2.2333333333333334,15,1.3,1.706,2.5,2.5,2.259,2.5,2.5,2.5
356,站_330,依威能源汽车充电站(上城国际风荷苑二期),庐阳区,利辛路与固镇路交叉口西北150米上城国际·风荷苑2期地面停车场,117.281362,31.895367,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.375,4,1.88,2.5,2.5,2.5,2.5,2.5,2.5,2.5
357,站_331,依威能源汽车充电站(警祥苑),庐阳区,长丰路69号警祥苑地下停车场053,117.262943,31.874002,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.3,10,0.655,2.893,2.5,2.5,2.222,2.5,2.5,2.5
358,站_332,依威能源汽车充电站(水晶苑),庐阳区,肥西路1018号水晶苑,117.256359,31.874407,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.1666666666666665,15,1.217,1.589,2.5,1.846,2.5,2.5,2.5,2.5
359,站_334,蔚尔加电充电场站,庐阳区,大杨镇怀宁北路国网安徽省电力公司北10米停车场,117.220109,31.891608,汽车服务;充电站;充电站,15155129709,新能源汽车充电桩,2026/1/27 20:38,3,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
360,站_335,依威能源汽车充电站(金荷苑),庐阳区,藕塘路257号金荷苑地下停车场,117.272844,31.893079,汽车服务;充电站;充电站,4001800910,新能源汽车充电桩,2026/1/27 20:38,2.25,4,0.21,4.449,2.5,2.5,2.5,2.5,2.5,2.5
361,站_336,智能充电桩,庐阳区,潜山北路12号,117.243192,31.877482,生活服务;生活服务场所;生活服务场所,,新能源汽车充电桩,2026/1/27 20:38,3.5545454545454547,11,2.193,2.5,2.5,3.69,3.57,2.993,2.5,2.5
362,站_337,中国石化汽车充电站(大众充电站),蜀山区,休宁路与合作化路交口西南角,117.25108,31.819872,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,4.706521739130435,46,4.81,4.369,2.258,3.385,3.644,2.5,2.5,2.5
363,站_338,中国石化汽车充电站(雪霁路充电站),蜀山区,英士博工业园南门旁,117.154338,31.859569,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,4.142857142857143,28,4.707,3.192,3.761,3.224,2.5,2.632,2.5,2.5
364,站_339,国家电网汽车充电站(黄山路),蜀山区,合肥科技园南地面停车场,117.206514,31.840805,汽车服务;充电站;充电站,0551-62391110;0551-63318110,新能源汽车充电桩,2026/1/27 20:39,4.372727272727273,55,3.997,4.394,2.716,2.901,3.009,2.773,2.5,2.5
365,站_340,星星充电汽车充电站(振规金属北区),蜀山区,锦绣社区合肥振规金属有限公司门口地面停车场,117.247388,31.725399,汽车服务;充电站;充电站,15155954210,新能源汽车充电桩,2026/1/27 20:39,4.111111111111111,9,3.732,3.057,2.5,2.5,3.135,3.135,2.5,2.5
366,站_341,国家电网汽车充电站(安徽省合肥市蜀山区鸡鸣山路量子科仪谷西门停车场充电站),蜀山区,鸡鸣山路与皖水路交叉口南180米,117.089229,31.844281,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:39,4.333333333333333,18,5.539,3.951,2.773,2.5,1.57,2.5,2.5,2.5
367,站_342,中国石化汽车充电站(砂之船奥莱充电站),蜀山区,云飞路砂之船(合肥)奥莱,117.11942,31.83863,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,4.043478260869565,23,6.618,4.659,2.774,2.834,3.022,2.5,2.5,2.5
368,站_343,中国石化汽车充电站(彩虹路充电站),蜀山区,杨林路,117.14817,31.840458,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,2.6666666666666665,24,2.288,3.009,2.672,2.5,2.5,2.5,2.5,2.5
369,站_344,中国石化汽车充电站(市政务中心充电站),蜀山区,笔架山街道政务环路安徽省生态环境厅,117.2256,31.822859,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,3.730769230769231,39,3.353,3.244,2.74,3.015,2.5,2.997,2.5,2.5
370,站_345,国家电网汽车充电站(安徽省合肥市经开区始信路充电站),蜀山区,国家电网滨湖智慧能源服务站地面停车场,117.251384,31.711172,汽车服务;充电站;充电站,0551-63318110;96529,新能源汽车充电桩,2026/1/27 20:39,5,3,3.778,2.5,2.5,2.5,2.5,2.5,2.5,2.5
371,站_346,汽车充电站(行星翡翠路超充站),蜀山区,翡翠路17号,117.211418,31.79519,汽车服务;充电站;充电站,17756033790,新能源汽车充电桩,2026/1/27 20:39,4.5,11,5.932,3.563,2.5,2.5,3.92,2.5,2.5,2.5
372,站_347,皖小能汽车充电站(中安创谷二期停车场),蜀山区,西北角近孔雀台路与云飞路交口,117.0932,31.8341,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:39,2.861111111111111,18,3.013,3.636,2.5,1.906,2.245,2.956,2.5,2.5
373,站_348,皖小能汽车充电站(嘉禾停车场),蜀山区,嘉和苑路嘉和苑东门,117.24181,31.802874,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:39,3.5384615384615383,26,2.678,2.699,2.884,2.5,2.668,2.5,2.5,2.5
374,站_349,国家电网汽车充电站(安徽省合肥市蜀山区南艳湖习友路5号停车场快充站),蜀山区,习友路南艳湖公园5号停车场,117.26142,31.771015,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:39,4.066666666666666,15,5.895,2.5,2.5,2.5,2.863,2.882,2.5,2.5
375,站_350,星星充电汽车充电站(星星充电-妇幼保健院西区充电站),蜀山区,南岗镇石镜路安徽省妇幼保健院西区地面停车场,117.121569,31.851746,汽车服务;充电站;充电站,15155954210,新能源汽车充电桩,2026/1/27 20:39,4.026315789473684,19,4.92,4.358,2.979,2.776,3.954,2.5,2.5,2.5
376,站_351,中国石化汽车充电站(桃花源充电站),蜀山区,紫云路与金寨路交口中石化桃花源加油站,117.203852,31.755089,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,4.053571428571429,28,4.028,3.906,3.443,3.296,2.5,2.5,2.5,2.5
377,站_352,星星充电汽车充电站(星星充电-经开区森隆超级充电站),蜀山区,经开区海恒社区芙蓉路166号合肥森隆工业园,117.25429,31.783644,汽车服务;充电站;充电站,15215694593,新能源汽车充电桩,2026/1/27 20:39,4.107142857142857,14,6.816,8.359,3.412,2.5,6.243,2.5,2.5,2.5
378,站_353,国家电网汽车充电站(安徽省合肥市蜀山区政务中心停车场快充站),蜀山区,合肥政务广场地面停车场,117.228085,31.823115,汽车服务;充电站;充电站,0551-63318110;96529,新能源汽车充电桩,2026/1/27 20:39,3.673076923076923,26,3.952,3.573,2.744,2.5,2.211,3.078,2.5,2.5
379,站_354,优充星汽车充电站(弘电e充超级充电站潜山路站),蜀山区,长江西路与潜山路交口向南100米,117.23057,31.850374,汽车服务;充电站;充电站,13339196919,新能源汽车充电桩,2026/1/27 20:39,3.272727272727273,11,3.268,1.371,2.5,2.5,3.268,2.5,2.5,2.5
380,站_355,星星充电汽车充电站(昌和检测超级快充站),蜀山区,蜀山区经开区莲花路昌和检测站院内,117.230552,31.738108,汽车服务;充电站;充电站,17354048776,新能源汽车充电桩,2026/1/27 20:39,4.388888888888889,18,3.049,4.468,3.627,2.848,2.5,2.5,2.5,2.5
381,站_356,星星汽车充电站(西二环超级),蜀山区,西二环路军源八一驾校(环东训练基地)内地面停车场,117.216263,31.845814,汽车服务;充电站;充电站,13966772082,新能源汽车充电桩,2026/1/27 20:39,4.714285714285714,7,3.857,3.936,3.168,3.219,2.5,2.937,2.5,2.5
382,站_357,中国石化汽车充电站(裕田充电站),蜀山区,裕田汽车科技产业园,117.26238,31.72711,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,3.5,10,2.758,3.184,2.5,2.5,3.094,2.5,2.5,2.5
383,站_358,云快充汽车充电站(百碳菜鸟网络合肥经开园区充电站),蜀山区,菜鸟网络(合肥经开园区),117.002798,31.977958,汽车服务;充电站;充电站,4008288517,新能源汽车充电桩,2026/1/27 20:39,4,17,5.531,2.5,2.5,2.859,2.5,2.754,2.5,2.5
384,站_359,中国石化汽车充电站(响洪甸路充电站),蜀山区,中国石化合肥响洪甸路加油站,117.080872,31.867708,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,1.9615384615384612,13,0.879,4.153,2.5,2.5,2.5,2.5,2.5,2.5
385,站_360,中国石化汽车充电站(高新区充电站),蜀山区,中国石化高新区加油站,117.2141,31.847914,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,2.85,10,4.113,3.329,2.5,2.5,2.5,2.5,2.5,2.5
386,站_361,星星充电汽车充电站(创新国际充电站),蜀山区,高新技术产业开发区创新大道2493号智选假日酒店地面停车场,117.135399,31.84209,汽车服务;充电站;充电站,4008280768,新能源汽车充电桩,2026/1/27 20:39,3.3125,16,3.489,3.228,2.5,2.5,2.668,2.5,2.5,2.5
387,站_362,皖小能电动汽车快充站(半岛公园充电站),蜀山区,半岛路1号,117.191119,31.854499,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:39,3.730769230769231,13,6.238,3.935,2.5,2.5,2.821,2.5,2.5,2.5
388,站_363,星星充电汽车充电站(星星充电-蔚尔加电永和家园快充站),蜀山区,高新技术产业开发区永和家园三期C组团,117.11023,31.844223,汽车服务;充电站;充电站,17805659299,新能源汽车充电桩,2026/1/27 20:39,2.076923076923077,26,2.532,2.969,2.5,2.146,2.657,2.5,2.5,2.5
389,站_364,皖小能汽车充电站(皖小能轩辕路),蜀山区,海恒社区轩辕路安徽奥动,117.269531,31.77833,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:39,3.6666666666666665,6,4.972,3.046,2.976,2.5,2.5,2.5,2.5,2.5
390,站_365,中国石化汽车充电站(潜山北路多彩充电站),蜀山区,井岗镇安瑞升能源潜山北路加气站龙凤嘉园,117.23126,31.866005,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,4.125,12,3.176,3.824,2.5,2.5,2.5,2.892,2.5,2.5
391,站_366,壳牌充电汽车充电站(壳牌合肥港汇广场地面快充站),蜀山区,南七街道潜山路167号港汇广场,117.23259,31.832458,汽车服务;充电站;充电站,4007160699,新能源汽车充电桩,2026/1/27 20:39,3.4166666666666665,12,3.99,3.878,3.524,4.547,2.675,4.547,2.5,2.5
392,站_367,星星充电汽车充电站(-经开美宿酒店西站),蜀山区,合肥经开外科医院地面停车场,117.240489,31.781061,汽车服务;充电站;充电站,15155954210,新能源汽车充电桩,2026/1/27 20:39,4.53125,16,2.501,3.741,3.112,3.817,4.071,3.112,2.5,2.5
393,站_368,科科超级充电站(蜀山区四季花海D区超充站),蜀山区,蜀山新产业园区皖山路四季花海公园C区内(西侧),117.157743,31.867156,汽车服务;充电站;充电站,0551-63711695;15855519768,新能源汽车充电桩,2026/1/27 20:39,0.5,2,-1.547,2.5,2.5,2.5,2.5,2.5,2.5,2.5
394,站_369,中国石化汽车充电站(国祯广场充电站),蜀山区,五里墩街道金牛路国祯广场,117.23434,31.853767,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,3.727272727272727,11,3.56,2.966,2.5,2.5,3.028,2.5,2.5,2.5
395,站_370,国家电网汽车充电站(沪陕高速新桥服务区充电站西安方向),蜀山区,沪陕高速新桥服务区西安方向,116.89489,31.920675,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:39,3.6666666666666665,3,3.952,2.5,2.5,2.5,2.5,2.5,2.5,2.5
396,站_371,中国石化汽车充电站(五里墩充电站),蜀山区,西园街道中国石化五里墩加油站,117.245715,31.851032,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,3.7,15,3.769,4.535,2.5,3.073,3.516,3.329,2.5,2.5
397,站_372,星星充电汽车充电站(星星充电-妇幼保健院西区二期充电站),蜀山区,南岗镇石镜路安徽省妇幼保健院西区,117.12176,31.852291,汽车服务;充电站;充电站,15155954210,新能源汽车充电桩,2026/1/27 20:39,3.6,10,2.5,2.263,2.5,2.5,3.482,2.5,2.5,2.5
398,站_373,特来电汽车充电站(特来电杜岗游园超充站),蜀山区,杜岗游园地面停车场,117.256046,31.820985,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:39,3.55,10,3.059,2.376,2.892,1.951,2.801,2.5,2.5,2.5
399,站_374,皖小能汽车充电站(经开公交宿松路停保场),蜀山区,合肥经济技术开发区宿松路与云谷路交口经开公交停保场,117.25293,31.711693,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:39,2,5,0.998,2.5,2.5,2.5,2.5,2.5,2.5,2.5
400,站_375,壳牌充电汽车充电站(壳牌合肥源润大厦地面快充站),蜀山区,源润大厦停车场,117.276436,31.746607,汽车服务;充电站;充电站,4007160699,新能源汽车充电桩,2026/1/27 20:39,2.3,5,2.861,2.5,2.5,2.5,2.5,2.5,2.5,2.5
401,站_376,星星充电汽车充电站(星星充电-蔚尔加电卧云新村快充站),蜀山区,临湖社区管理管委会卧云路35号卧云新村地面停车场,117.262327,31.728516,汽车服务;充电站;充电站,17805659299,新能源汽车充电桩,2026/1/27 20:39,4.357142857142857,7,3.511,2.5,2.5,2.5,2.5,2.5,2.5,2.5
402,站_377,星星充电汽车充电站(星星充电-青阳路充电站),蜀山区,五里墩街道青阳路253号海亮·熙园立体停车场(淠河路),117.24145,31.85602,汽车服务;充电站;充电站,4009208050,新能源汽车充电桩,2026/1/27 20:39,4.333333333333333,6,5.152,4.98,2.5,2.5,2.5,2.5,2.5,2.5
403,站_378,星星充电汽车充电站(星星充电-长江西路充电站),蜀山区,蜀山新产业园区雪霁路合肥宝龙工业园地面停车场,117.15412,31.861025,汽车服务;充电站;充电站,13956942628,新能源汽车充电桩,2026/1/27 20:39,3.3846153846153846,13,2.707,2.882,3.154,2.5,2.5,2.5,2.5,2.5
404,站_379,小鹏超级充电站(小鹏S5超快充合肥科学大道翔孚站),蜀山区,科学大道77号合肥国家大学科技园创业孵化中心,117.20322,31.83531,汽车服务;充电站;充电站,4007836688,新能源汽车充电桩,2026/1/27 20:39,4.35,10,4.121,2.5,2.5,2.906,2.906,2.5,2.5,2.5
405,站_380,极氪能源超级充电站(合肥文锦新城极充站),蜀山区,书箱路97号文锦新城地面停车位,117.211555,31.795664,汽车服务;充电站;充电站,4000036036,新能源汽车充电桩,2026/1/27 20:39,4.75,4,3.344,4.502,2.5,2.5,2.5,2.5,2.5,2.5
406,站_381,汽车充电站(悦来电合肥国祯广场超充站),蜀山区,西七里塘地铁站A口步行400米,117.234414,31.85199,汽车服务;充电站;充电站,4000036036,新能源汽车充电桩,2026/1/27 20:39,4.642857142857143,7,2.924,3.494,2.5,2.5,2.5,2.5,2.5,2.5
407,站_382,爱电汽车充电站(爱电铭盛药厂充电站),蜀山区,高新技术产业开发区红枫路10号,117.205389,31.827908,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:39,4,10,3.954,2.988,2.5,2.5,3.448,2.5,2.5,2.5
408,站_383,中国石化汽车充电站(紫石路充电站),蜀山区,临湖社区管理管委会中国石化紫石路加油站,117.217959,31.718444,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:39,3.1666666666666665,9,2.811,2.072,2.5,2.5,2.5,2.5,2.928,2.5
